Vechta Flugplatz
18:42|19:12|19:42|20:12|20:42|21:12|21:42|22:12|22:42|23:12|23:42|00:12|00:42|01:12|01:42|02:12|02:42
15:12|16:12|17:12|18:12|18:42|19:12|19:42|20:12|20:42|21:12|21:42|22:12|22:42|23:12|23:42|00:12|00:42|01:12|01:42|02:12|02:42|03:12|03:42
15:12|16:12|17:12|18:12|18:42|19:12|19:42|20:12|20:42|21:12|21:42|22:12|22:42|23:12|23:42|00:12|00:42|01:12|01:42|02:12|02:42|03:12|03:42
13:12|14:12|15:12|16:12|17:12|18:12|19:12|20:12|21:12|22:12|23:12|00:12
08:12|09:12|10:12|11:12|12:12|13:12|14:12|15:12|16:12|17:12|18:12|19:12|20:12|21:12|22:12|23:12|00:12|01:12|02:12
14:12|15:12|16:12|17:12|18:12|19:12|20:12
undefined
Petersburger Str./Schweriner Str.
|
Erwachsene|200|Kinder (3-11 Jahre)|140
18:44|19:14|19:44|20:14|20:44|21:14|21:44|22:14|22:44|23:14|23:44|00:14|00:44|01:14|01:44|02:14|02:44
15:14|16:14|17:14|18:14|18:44|19:14|19:44|20:14|20:44|21:14|21:44|22:14|22:44|23:14|23:44|00:14|00:44|01:14|01:44|02:14|02:44|03:14|03:44
15:14|16:14|17:14|18:14|18:44|19:14|19:44|20:14|20:44|21:14|21:44|22:14|22:44|23:14|23:44|00:14|00:44|01:14|01:44|02:14|02:44|03:14|03:44
13:14|14:14|15:14|16:14|17:14|18:14|19:14|20:14|21:14|22:14|23:14|00:14
08:14|09:14|10:14|11:14|12:14|13:14|14:14|15:14|16:14|17:14|18:14|19:14|20:14|21:14|22:14|23:14|00:14|01:14|02:14
14:14|15:14|16:14|17:14|18:14|19:14|20:14
undefined
Allensteiner Str., Fahrschule Moss
|
Erwachsene|200|Kinder (3-11 Jahre)|140
18:46|19:16|19:46|20:16|20:46|21:16|21:46|22:16|22:46|23:16|23:46|00:16|00:46|01:16|01:46|02:16|02:46
15:16|16:16|17:16|18:16|18:46|19:16|19:46|20:16|20:46|21:16|21:46|22:16|22:46|23:16|23:46|00:16|00:46|01:16|01:46|02:16|02:46|03:16|03:46
15:16|16:16|17:16|18:16|18:46|19:16|19:46|20:16|20:46|21:16|21:46|22:16|22:46|23:16|23:46|00:16|00:46|01:16|01:46|02:16|02:46|03:16|03:46
13:16|14:16|15:16|16:16|17:16|18:16|19:16|20:16|21:16|22:16|23:16|00:16
08:16|09:16|10:16|11:16|12:16|13:16|14:16|15:16|16:16|17:16|18:16|19:16|20:16|21:16|22:16|23:16|00:16|01:16|02:16
14:16|15:16|16:16|17:16|18:16|19:16|20:16
undefined
Allensteiner Str./Dresdener Str.
|
Erwachsene|200|Kinder (3-11 Jahre)|140
18:47|19:17|19:47|20:17|20:47|21:17|21:47|22:17|22:47|23:17|23:47|00:17|00:47|01:17|01:47|02:17|02:47
15:17|16:17|17:17|18:17|18:47|19:17|19:47|20:17|20:47|21:17|21:47|22:17|22:47|23:17|23:47|00:17|00:47|01:17|01:47|02:17|02:47|03:17|03:47
15:17|16:17|17:17|18:17|18:47|19:17|19:47|20:17|20:47|21:17|21:47|22:17|22:47|23:17|23:47|00:17|00:47|01:17|01:47|02:17|02:47|03:17|03:47
13:17|14:17|15:17|16:17|17:17|18:17|19:17|20:17|21:17|22:17|23:17|00:17
08:17|09:17|10:17|11:17|12:17|13:17|14:17|15:17|16:17|17:17|18:17|19:17|20:17|21:17|22:17|23:17|00:17|01:17|02:17
14:17|15:17|16:17|17:17|18:17|19:17|20:17
undefined
Stoppelmarkt
|
Erwachsene|200|Kinder (3-11 Jahre)|140
18:50|19:20|19:50|20:20|20:50|21:20|21:50|22:20|22:50|23:20|23:50|00:20|00:50|01:20|01:50|02:20|02:50
15:20|16:20|17:20|18:20|18:50|19:20|19:50|20:20|20:50|21:20|21:50|22:20|22:50|23:20|23:50|00:20|00:50|01:20|01:50|02:20|02:50|03:20|03:50
15:20|16:20|17:20|18:20|18:50|19:20|19:50|20:20|20:50|21:20|21:50|22:20|22:50|23:20|23:50|00:20|00:50|01:20|01:50|02:20|02:50|03:20|03:50
13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20|23:20|00:20
08:20|09:20|10:20|11:20|12:20|13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20|23:20|00:20|01:20|02:20
14:20|15:20|16:20|17:20|18:20|19:20|20:20
undefined
return
|
Erwachsene|200|Kinder (3-11 Jahre)|140
19:00|19:30|20:00|20:30|21:00|21:30|22:00|22:30|23:00|23:30|00:00|00:30|01:00|01:30|02:00|02:30|03:00
15:30|16:30|17:30|18:30|19:00|19:30|20:00|20:30|21:00|21:30|22:00|22:30|23:00|23:30|00:00|00:30|01:00|01:30|02:00|02:30|03:00|03:30|04:00
15:30|16:30|17:30|18:30|19:00|19:30|20:00|20:30|21:00|21:30|22:00|22:30|23:00|23:30|00:00|00:30|01:00|01:30|02:00|02:30|03:00|03:30|04:00
13:30|14:30|15:30|16:30|17:30|18:30|19:30|20:30|21:30|22:30|23:30|00:30
10:30|11:30|12:30|13:30|14:30|15:30|16:30|17:30|18:30|19:30|20:30|21:30|22:30|23:30|00:30|01:30|02:30|03:30
14:30|15:30|16:30|17:30|18:30|19:30|20:30|23:00
undefined
